1,dago@codeforprogress.org,Personal
2,kathy@codeforprogress.org,Personal
3,pam@codeforprogress.org,Personal
4,jason@codeforprogress.org,Personal
5,elaine@codeforprogress.org,Personal
6,selina@codeforprogress.org,Personal
7,aurea@codeforprogress.org,Personal
8,bobbyjoe@codeforprogress.org,Personal
9,terry@codeforprogress.org,Personal
10,angie@codeforprogress.org,Personal
11,mariella@codeforprogress.org,Personal
12,cassidy@codeforprogress.org,Personal
14,aguilera@gmail.com,Personal
15,spearsbrit@gmail.com,Personal
16,rickymartin@culumbiarecords.com,Bussiness
17,bangzenblo@gmail.com,Personal
18,mvergara@yahoo.com,Personal
19,marley@heavenlyheavens.com,Bussiness
20,lupefiasco@gmail.com,Bussiness
21,slimshady@shadeshady.org,Bussiness
